Rule,Severity,Category,Direction,Exposure,Min_USD,Max_USD,Window,Tx_Count,Status,Start_Date
1,HIGH,Dormant Reactivation,SENT,≥90 days,"$5,000",>80%,–,ENABLED,2025-02-18,
2,HIGH,Dormant Reactivation,SENT,≥180 days,"$1,000",>50%,–,ENABLED,2025-02-18,
3,HIGH,Dormant Inbound Spike,RECEIVED,≥90 days,"$5,000",–,>500%,ENABLED,2025-02-18,
4,HIGH,Dormant Inbound Spike,RECEIVED,≥180 days,"$2,000",–,>300%,ENABLED,2025-02-18,
5,MEDIUM,Volume Spike,SENT,–,"$10,000",–,>10x,ENABLED,2025-02-18,
6,MEDIUM,Volume Spike,RECEIVED,–,"$10,000",–,>10x,ENABLED,2025-02-18,
