Rule,Severity,Category,Direction,Exposure,Min_USD,Max_USD,Window,Tx_Count,Status,Start_Date
1,HIGH,Velocity Structuring,SENT,AGGREGATE,"$10,000",∞,24h,≥3,ENABLED,2025-02-18
2,HIGH,Velocity Structuring,RECEIVED,AGGREGATE,"$10,000",∞,24h,≥3,ENABLED,2025-02-18
3,HIGH,Threshold Proximity,SENT,SINGLE,"$8,000","$9,999",–,1,ENABLED,2025-02-18
4,HIGH,Threshold Proximity,RECEIVED,SINGLE,"$8,000","$9,999",–,1,ENABLED,2025-02-18
5,MEDIUM,Extended Window Structuring,SENT,AGGREGATE,"$25,000",∞,72h,≥5,ENABLED,2025-02-18
6,MEDIUM,Extended Window Structuring,RECEIVED,AGGREGATE,"$25,000",∞,72h,≥5,ENABLED,2025-02-18
